"activity" "subject"
"WALKING" "1"
"WALKING" "2"
"WALKING" "3"
"WALKING" "4"
"WALKING" "5"
"WALKING" "6"
"WALKING" "7"
"WALKING" "8"
"WALKING" "9"
"WALKING" "10"
"WALKING" "11"
"WALKING" "12"
"WALKING" "13"
"WALKING" "14"
"WALKING" "15"
"WALKING" "16"
"WALKING" "17"
"WALKING" "18"
"WALKING" "19"
"WALKING" "20"
"WALKING" "21"
"WALKING" "22"
"WALKING" "23"
"WALKING" "24"
"WALKING" "25"
"WALKING" "26"
"WALKING" "27"
"WALKING" "28"
"WALKING" "29"
"WALKING" "30"
"WALKING_UPSTAIRS" "1"
"WALKING_UPSTAIRS" "2"
"WALKING_UPSTAIRS" "3"
"WALKING_UPSTAIRS" "4"
"WALKING_UPSTAIRS" "5"
"WALKING_UPSTAIRS" "6"
"WALKING_UPSTAIRS" "7"
"WALKING_UPSTAIRS" "8"
"WALKING_UPSTAIRS" "9"
"WALKING_UPSTAIRS" "10"
"WALKING_UPSTAIRS" "11"
"WALKING_UPSTAIRS" "12"
"WALKING_UPSTAIRS" "13"
"WALKING_UPSTAIRS" "14"
"WALKING_UPSTAIRS" "15"
"WALKING_UPSTAIRS" "16"
"WALKING_UPSTAIRS" "17"
"WALKING_UPSTAIRS" "18"
"WALKING_UPSTAIRS" "19"
"WALKING_UPSTAIRS" "20"
"WALKING_UPSTAIRS" "21"
"WALKING_UPSTAIRS" "22"
"WALKING_UPSTAIRS" "23"
"WALKING_UPSTAIRS" "24"
"WALKING_UPSTAIRS" "25"
"WALKING_UPSTAIRS" "26"
"WALKING_UPSTAIRS" "27"
"WALKING_UPSTAIRS" "28"
"WALKING_UPSTAIRS" "29"
"WALKING_UPSTAIRS" "30"
"WALKING_DOWNSTAIRS" "1"
"WALKING_DOWNSTAIRS" "2"
"WALKING_DOWNSTAIRS" "3"
"WALKING_DOWNSTAIRS" "4"
"WALKING_DOWNSTAIRS" "5"
"WALKING_DOWNSTAIRS" "6"
"WALKING_DOWNSTAIRS" "7"
"WALKING_DOWNSTAIRS" "8"
"WALKING_DOWNSTAIRS" "9"
"WALKING_DOWNSTAIRS" "10"
"WALKING_DOWNSTAIRS" "11"
"WALKING_DOWNSTAIRS" "12"
"WALKING_DOWNSTAIRS" "13"
"WALKING_DOWNSTAIRS" "14"
"WALKING_DOWNSTAIRS" "15"
"WALKING_DOWNSTAIRS" "16"
"WALKING_DOWNSTAIRS" "17"
"WALKING_DOWNSTAIRS" "18"
"WALKING_DOWNSTAIRS" "19"
"WALKING_DOWNSTAIRS" "20"
"WALKING_DOWNSTAIRS" "21"
"WALKING_DOWNSTAIRS" "22"
"WALKING_DOWNSTAIRS" "23"
"WALKING_DOWNSTAIRS" "24"
"WALKING_DOWNSTAIRS" "25"
"WALKING_DOWNSTAIRS" "26"
"WALKING_DOWNSTAIRS" "27"
"WALKING_DOWNSTAIRS" "28"
"WALKING_DOWNSTAIRS" "29"
"WALKING_DOWNSTAIRS" "30"
"SITTING" "1"
"SITTING" "2"
"SITTING" "3"
"SITTING" "4"
"SITTING" "5"
"SITTING" "6"
"SITTING" "7"
"SITTING" "8"
"SITTING" "9"
"SITTING" "10"
"SITTING" "11"
"SITTING" "12"
"SITTING" "13"
"SITTING" "14"
"SITTING" "15"
"SITTING" "16"
"SITTING" "17"
"SITTING" "18"
"SITTING" "19"
"SITTING" "20"
"SITTING" "21"
"SITTING" "22"
"SITTING" "23"
"SITTING" "24"
"SITTING" "25"
"SITTING" "26"
"SITTING" "27"
"SITTING" "28"
"SITTING" "29"
"SITTING" "30"
"STANDING" "1"
"STANDING" "2"
"STANDING" "3"
"STANDING" "4"
"STANDING" "5"
"STANDING" "6"
"STANDING" "7"
"STANDING" "8"
"STANDING" "9"
"STANDING" "10"
"STANDING" "11"
"STANDING" "12"
"STANDING" "13"
"STANDING" "14"
"STANDING" "15"
"STANDING" "16"
"STANDING" "17"
"STANDING" "18"
"STANDING" "19"
"STANDING" "20"
"STANDING" "21"
"STANDING" "22"
"STANDING" "23"
"STANDING" "24"
"STANDING" "25"
"STANDING" "26"
"STANDING" "27"
"STANDING" "28"
"STANDING" "29"
"STANDING" "30"
"LAYING" "1"
"LAYING" "2"
"LAYING" "3"
"LAYING" "4"
"LAYING" "5"
"LAYING" "6"
"LAYING" "7"
"LAYING" "8"
"LAYING" "9"
"LAYING" "10"
"LAYING" "11"
"LAYING" "12"
"LAYING" "13"
"LAYING" "14"
"LAYING" "15"
"LAYING" "16"
"LAYING" "17"
"LAYING" "18"
"LAYING" "19"
"LAYING" "20"
"LAYING" "21"
"LAYING" "22"
"LAYING" "23"
"LAYING" "24"
"LAYING" "25"
"LAYING" "26"
"LAYING" "27"
"LAYING" "28"
"LAYING" "29"
"LAYING" "30"
